project_id,project_name,project_type,business_unit,delay_days,risk_score,unresolved_issue_count,late_scope_change_flag
P132,IT Delivery Australia Program 132,IT Delivery,Finance,45,10,5,0
P102,Transformation UK Program 102,Transformation,Sales,59,9,3,1
P001,IT Delivery UK Program 001,IT Delivery,Sales,44,9,4,0
P119,Client Implementation UK Program 119,Client Implementation,Finance,37,9,4,0
P033,Operations Improvement UK Program 033,Operations Improvement,Operations,30,9,2,1
P155,Transformation Australia Program 155,Transformation,Operations,27,9,4,1
P025,Operations Improvement Australia Program 025,Operations Improvement,Technology,24,9,4,0
P151,Client Implementation Europe Program 151,Client Implementation,Sales,15,9,5,0
P052,Operations Improvement Australia Program 052,Operations Improvement,Sales,68,8,1,1
P137,IT Delivery UK Program 137,IT Delivery,Customer Experience,61,8,4,0
P182,Transformation Europe Program 182,Transformation,Customer Experience,55,8,2,1
P037,Client Implementation UK Program 037,Client Implementation,Operations,47,8,3,1
P066,Client Implementation UK Program 066,Client Implementation,Sales,45,8,2,0
P079,IT Delivery UK Program 079,IT Delivery,Technology,38,8,1,1
P099,Transformation Australia Program 099,Transformation,Customer Experience,37,8,4,0
P090,Operations Improvement UK Program 090,Operations Improvement,Operations,21,8,2,0
P045,IT Delivery UK Program 045,IT Delivery,Technology,19,8,4,0
P130,Client Implementation Europe Program 130,Client Implementation,Operations,12,8,4,0
P181,Transformation Europe Program 181,Transformation,Customer Experience,52,7,4,0
P197,IT Delivery Europe Program 197,IT Delivery,Customer Experience,51,7,0,1
P120,Product Launch UK Program 120,Product Launch,Operations,49,7,1,0
P007,Transformation Europe Program 007,Transformation,Sales,48,7,2,0
P061,IT Delivery UK Program 061,IT Delivery,Sales,47,7,1,1
P030,Transformation Europe Program 030,Transformation,Customer Experience,46,7,0,1
P179,IT Delivery Australia Program 179,IT Delivery,Operations,44,7,2,1
P159,Client Implementation Australia Program 159,Client Implementation,Operations,43,7,2,1
P185,Product Launch Europe Program 185,Product Launch,Customer Experience,42,7,0,0
P065,Transformation Europe Program 065,Transformation,Operations,40,7,3,0
