project_id,project_name,project_type,business_unit,region,priority,start_date,planned_end_date,actual_end_date,planned_duration_days,actual_duration_days,delay_days,delayed_flag,major_delay_flag,budget_gbp,sponsor,project_manager,milestone_count,critical_milestone_count,delayed_milestone_count,critical_milestone_missed_count,avg_milestone_delay_days,max_milestone_delay_days,issue_count,unresolved_issue_count,high_severity_issue_count,avg_issue_days_open,approval_delay_issue_count,vendor_delay_issue_count,resource_shortage_issue_count,scope_change_issue_count,dependency_blocker_issue_count,procurement_delay_issue_count,technical_issue_count,planned_team_size,actual_team_size,resource_gap,resource_gap_pct,overtime_hours,attrition_flag,change_request_count,approved_scope_change_count,late_scope_change_flag,scope_change_impact,schedule_variance_pct,resource_gap_flag,high_overtime_flag,preventable_delay_flag,risk_score,risk_band
P001,IT Delivery UK Program 001,IT Delivery,Sales,UK,High,2024-04-14 00:00:00,2024-11-29 00:00:00,2025-01-12 00:00:00,229,273,44,1,1,358000,Sponsor_07,PM_19,6,4,6,4,8.0,14,11,4,5,62.72727272727273,2,1,2,4,1,0,1,4,2,2,0.5,163,1,3,2,0,Medium,0.19213973799126638,1,1,1,9,High
P002,IT Delivery Europe Program 002,IT Delivery,Operations,Europe,Low,2024-06-12 00:00:00,2024-12-27 00:00:00,2025-01-18 00:00:00,198,220,22,1,0,876000,Sponsor_03,PM_09,6,4,6,4,4.166666666666667,6,9,0,3,15.555555555555555,1,1,0,2,0,1,4,7,4,3,0.429,111,0,0,0,0,Low,0.1111111111111111,1,1,1,6,High
P003,Operations Improvement UK Program 003,Operations Improvement,Sales,UK,Medium,2025-01-22 00:00:00,2025-05-12 00:00:00,2025-06-03 00:00:00,110,132,22,1,0,1310000,Sponsor_14,PM_10,6,4,6,4,3.8333333333333335,8,5,0,4,14.0,0,0,0,1,2,0,2,14,16,0,0.0,8,1,0,0,0,Medium,0.2,0,0,1,4,Medium
P004,Client Implementation Europe Program 004,Client Implementation,Customer Experience,Europe,Medium,2025-01-08 00:00:00,2025-05-19 00:00:00,2025-07-10 00:00:00,131,183,52,1,1,938000,Sponsor_04,PM_12,6,4,6,4,9.5,16,6,3,2,46.833333333333336,1,3,1,1,0,0,0,14,15,0,0.0,81,1,0,0,0,Medium,0.3969465648854962,0,1,1,6,High
P005,Transformation Europe Program 005,Transformation,Operations,Europe,Low,2025-07-24 00:00:00,2025-12-17 00:00:00,2026-01-30 00:00:00,146,190,44,1,1,1582000,Sponsor_14,PM_11,6,4,6,4,9.333333333333334,24,7,2,1,36.42857142857143,1,2,0,1,0,0,3,4,3,1,0.25,36,1,2,2,0,Low,0.3013698630136986,1,0,1,4,Medium
P006,IT Delivery Europe Program 006,IT Delivery,Operations,Europe,Low,2024-09-28 00:00:00,2025-01-31 00:00:00,2025-02-01 00:00:00,125,126,1,1,0,685000,Sponsor_09,PM_18,6,4,1,0,0.16666666666666666,1,8,3,2,36.25,2,1,0,2,1,0,2,8,7,1,0.125,76,0,1,1,0,Medium,0.008,0,0,1,3,Medium
P007,Transformation Europe Program 007,Transformation,Sales,Europe,High,2025-03-08 00:00:00,2025-06-22 00:00:00,2025-08-09 00:00:00,106,154,48,1,1,968000,Sponsor_10,PM_13,6,4,5,3,8.0,15,12,2,4,23.666666666666668,3,1,0,4,0,1,3,11,8,3,0.273,194,0,0,0,0,High,0.4528301886792453,1,1,1,7,High
P008,Client Implementation UK Program 008,Client Implementation,Operations,UK,Medium,2024-01-04 00:00:00,2024-06-09 00:00:00,2024-06-18 00:00:00,157,166,9,1,0,1205000,Sponsor_09,PM_06,6,4,5,3,1.5,3,5,0,0,18.6,0,2,0,0,2,1,0,5,6,0,0.0,25,1,0,0,0,Medium,0.05732484076433121,0,0,1,3,Medium
P009,IT Delivery UK Program 009,IT Delivery,Technology,UK,Medium,2024-11-27 00:00:00,2025-06-30 00:00:00,2025-08-22 00:00:00,215,268,53,1,1,219000,Sponsor_15,PM_04,6,4,5,4,11.333333333333334,30,7,1,0,40.57142857142857,2,2,0,2,0,0,1,9,10,0,0.0,10,1,4,2,1,Low,0.24651162790697675,0,0,1,6,High
P010,IT Delivery Australia Program 010,IT Delivery,Sales,Australia,Medium,2024-06-18 00:00:00,2024-11-22 00:00:00,2024-12-07 00:00:00,157,172,15,1,0,1260000,Sponsor_07,PM_20,6,4,5,3,2.5,6,8,2,0,35.125,3,0,1,0,1,0,3,7,9,0,0.0,39,0,0,0,0,Medium,0.09554140127388536,0,0,1,3,Medium
P011,IT Delivery UK Program 011,IT Delivery,Operations,UK,Medium,2024-08-18 00:00:00,2024-12-02 00:00:00,2024-12-16 00:00:00,106,120,14,1,0,872000,Sponsor_10,PM_01,6,4,5,3,2.3333333333333335,3,5,1,3,28.6,0,0,1,3,1,0,0,12,14,0,0.0,7,0,2,2,0,Low,0.1320754716981132,0,0,1,4,Medium
P012,Operations Improvement UK Program 012,Operations Improvement,Technology,UK,High,2025-04-29 00:00:00,2025-09-28 00:00:00,2025-10-07 00:00:00,152,161,9,1,0,1786000,Sponsor_13,PM_16,6,4,5,3,1.5,4,3,0,1,11.333333333333334,0,0,1,1,0,1,0,10,10,0,0.0,52,0,1,1,0,Medium,0.05921052631578947,0,0,1,2,Low
P013,IT Delivery UK Program 013,IT Delivery,Customer Experience,UK,High,2024-12-13 00:00:00,2025-04-09 00:00:00,2025-05-19 00:00:00,117,157,40,1,1,689000,Sponsor_04,PM_07,6,4,5,3,6.666666666666667,10,8,2,2,36.625,1,2,0,1,1,0,3,12,10,2,0.167,39,0,0,0,0,Low,0.3418803418803419,1,0,1,6,High
